GC10-DET_brightness_10,0.731236667602783,0.2584208464158037,0.01353161090353261,0.05117923270392171
GC10-DET_brightness_20,0.7334215143229427,0.27302691538001994,0.024355288298233694,0.048407084112957896
GC10-DET_MedianBlur_15,0.7271118014411522,0.2528179375920182,0.020964291779891304,0.05051824148867038
GC10-DET_MedianBlur_29,0.7297224213322371,0.25392485944517507,0.01936657184103261,0.045391023607431046
GC10-DET_MedianBlur_43,0.7292841800650687,0.23773956336538904,0.018203984799592392,0.031683038370590506
GC10-DET_MedianBlur_57,0.7291819461022268,0.24258107689301323,0.01721277386209239,0.0378224647242404
GC10-DET_MedianBlur_71,0.7274775137469921,0.24265023616505935,0.016648755944293478,0.043568938979789494
GC10-DET_BilateralBlur_60,0.7318347954682165,0.2671550780040014,0.017802532693614127,0.05384815890573789
GC10-DET_BilateralBlur_120,0.7413288757718921,0.28290213308537604,0.011331182065217393,0.04758432370448206
GC10-DET_BilateralBlur_180,0.7465230599374681,0.28728926759285517,0.006439962635869565,0.04128012514458128
GC10-DET_BilateralBlur_240,0.7465392345919497,0.2811758365751422,0.00293110988451087,0.03862702291478214
GC10-DET_BilateralBlur_300,0.7491511381853193,0.28763378445541427,0.0006331309442934783,0.039547238955162524
GGC10-DET_Transform_Scale_0.0:0.05,0.7208997320043349,0.23953956797458203,0.02151135784646739,0.055329014115109924
GGC10-DET_Transform_Scale_0.05:0.1,0.7220901291995896,0.23579659992476584,0.016125435207201087,0.05340077711879601
GGC10-DET_Transform_Scale_0.1:0.15000000000000002,0.71673379295135,0.20885228297981628,0.013849492612092394,0.04480141151367394
GGC10-DET_Transform_Scale_0.15000000000000002:0.2,0.7193665816122217,0.2129332837113816,0.010596127717391305,0.04423741115732492
GGC10-DET_Transform_Scale_0.2:0.25,0.7084837794389957,0.18726375077801766,0.01306803031589674,0.04874438214513386
GGC10-DET_Transform_Scale_0.25:0.3,0.7056069733683275,0.1916467006204646,0.027995011039402176,0.04683076947608015
GC10-DET_Sharpening_0.5, 0.6970987096467496, 0.23871074259944572, 0.09595351774796194, 0.05146109591123515
GC10-DET_Sharpening_1.5, 0.6716905982552925, 0.40355572285339586, 0.31503061311141306, 0.0734533149761049
GC10-DET_Sharpening_2.0, 0.6157012016227746, 0.5203845060772055, 0.5838741614300271, 0.08940673977885431
GC10-DET_Sharpening_2.5, 0.5871511451223921, 0.5566300777364261, 0.7050266962466033, 0.09014994612264653
GC10-DET_Sharpening_3, 0.5555341431118327, 0.5252921584840432, 0.7637842327615489, 0.09490549638699629
GGC10-DET_Sharpening_0.5,0.6970987096467496,0.23871074259944572,0.09595351774796194,0.05146109591123515
GGC10-DET_Sharpening_1.5,0.6716905982552925,0.40355572285339586,0.31503061311141306,0.0734533149761049
GGC10-DET_Sharpening_2.0,0.6157012016227746,0.5203845060772055,0.5838741614300271,0.08940673977885431
